FilePath,FileName,Directory,DateTimeOriginal,FileModifyDate,DateTime,DateTimeModified,DateTimeAdjusted,Region,Site,Camera,NewName
U:/Test Images/Peru/S90/SDZG 2/EK000010.JPG,EK000010.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:01 15:21:16,2014:07:01 13:21:16-07:00,2014-07-01 15:21:16,2014-07-01 13:21:16,2014-07-01 13:21:16,Test Images,Peru,S90,Test Images_Peru_20140701_152116_EK000010.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000011.AVI,EK000011.AVI,U:/Test Images/Peru/S90/SDZG 2,NA,2014:07:01 13:21:30-07:00,NA,2014-07-01 13:21:30,2014-07-01 13:21:30,Test Images,Peru,S90,Test Images_Peru_NA_EK000011.AVI
U:/Test Images/Peru/S90/SDZG 2/EK000012.JPG,EK000012.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 02:55:17,2014:07:02 00:55:16-07:00,2014-07-02 02:55:17,2014-07-02 00:55:16,2014-07-02 00:55:16,Test Images,Peru,S90,Test Images_Peru_20140702_025517_EK000012.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000013.JPG,EK000013.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 02:55:18,2014:07:02 00:55:18-07:00,2014-07-02 02:55:18,2014-07-02 00:55:18,2014-07-02 00:55:18,Test Images,Peru,S90,Test Images_Peru_20140702_025518_EK000013.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000014.JPG,EK000014.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 02:55:18,2014:07:02 00:55:18-07:00,2014-07-02 02:55:18,2014-07-02 00:55:18,2014-07-02 00:55:18,Test Images,Peru,S90,Test Images_Peru_20140702_025518_EK000014.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000015.AVI,EK000015.AVI,U:/Test Images/Peru/S90/SDZG 2,NA,2014:07:02 00:55:32-07:00,NA,2014-07-02 00:55:32,2014-07-02 00:55:32,Test Images,Peru,S90,Test Images_Peru_NA_EK000015.AVI
U:/Test Images/Peru/S90/SDZG 2/EK000016.JPG,EK000016.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 10:59:48,2014:07:02 08:59:48-07:00,2014-07-02 10:59:48,2014-07-02 08:59:48,2014-07-02 08:59:48,Test Images,Peru,S90,Test Images_Peru_20140702_105948_EK000016.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000017.JPG,EK000017.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 10:59:49,2014:07:02 08:59:48-07:00,2014-07-02 10:59:49,2014-07-02 08:59:48,2014-07-02 08:59:48,Test Images,Peru,S90,Test Images_Peru_20140702_105949_EK000017.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000018.JPG,EK000018.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 10:59:49,2014:07:02 08:59:48-07:00,2014-07-02 10:59:49,2014-07-02 08:59:48,2014-07-02 08:59:48,Test Images,Peru,S90,Test Images_Peru_20140702_105949_EK000018.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000019.AVI,EK000019.AVI,U:/Test Images/Peru/S90/SDZG 2,NA,2014:07:02 09:00:04-07:00,NA,2014-07-02 09:00:04,2014-07-02 09:00:04,Test Images,Peru,S90,Test Images_Peru_NA_EK000019.AVI
U:/Test Images/Peru/S90/SDZG 2/EK000020.JPG,EK000020.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:02 11:23:22,2014:07:02 09:23:22-07:00,2014-07-02 11:23:22,2014-07-02 09:23:22,2014-07-02 09:23:22,Test Images,Peru,S90,Test Images_Peru_20140702_112322_EK000020.JPG
